ilanNo,brutM2,oda,fiyat,ilanBasligi,emlak,emlaktipi,ilce,url,ilcee,index,page,semt
1007055185,50,1+1,695.000,EN UYGUN EMLAKTAN ESATPAŞA MERKEZDE YÜKSEK GİRİŞ 1+1 DAİRE,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-en-uygun-emlaktan-esatpasa-merkezde-yuksek-giris-1-plus1-daire-1007055185/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,EsatpaşaMh.
1007044065,70,1+1,455.000,EUROCİTY DEN MUHTARLIĞA YAKIN YENİ BİNADA LED VE SPOT IŞIKLI 1+1,,Daire,İçerenköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-eurocity-den-muhtarliga-yakin-yeni-binada-led-ve-spot-isikli-1-plus1-1007044065/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,İçerenköyMh.
1007041495,47,Stüdyo(1+0),2.950.000,ATAŞEHİR METROPOL İSTANBULDA YATIRIMCIYA 8000 TL KİRACILI,,Residence,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-metropol-istanbulda-yatirimciya-8000-tl-kiracili-1007041495/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,AtatürkMh.
1007024766,117,2+1,3.900.000,GÜNCEL..AĞAOĞLU MY TOWERLAND TADİLATLI HAVUZ CEPHE 2+1 SATILIK,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-guncel..agaoglu-my-towerland-tadilatli-havuz-cephe-2-plus1-satilik-1007024766/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,AtatürkMh.
1007018814,198,3+1,6.350.000,ATAŞEHİR İNCİ SİTESİNDE KOMPLE TADİLATLI NET136m2 ARA KAT 3+1,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-inci-sitesinde-komple-tadilatli-net136m2-ara-kat-3-plus1-1007018814/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,AtatürkMh.
1007023480,120,3+1,1.450.000,TEK YETKİLİ SAĞLAM DAN SİTE DE CADDE ÜZERİNDE 3+1 İSKANLI,,Daire,İçerenköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-tek-yetkili-saglam-dan-site-de-cadde-uzerinde-3-plus1-iskanli-1007023480/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,İçerenköyMh.
1007019783,160,5+1,1.575.000,SİNAN KORKMAZ'DAN ESATPAŞA MAHALLESİNDE 5+1 DUBLEX DAİRE,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-sinan-korkmaz-dan-esatpasa-mahallesinde-5-plus1-dublex-daire-1007019783/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,EsatpaşaMh.
1007015668,70,2+1,780.000,FL EMLAKTAN OTOBAN YENİ YAPILAN FİNANS MERKEZİ YAKINI 2 +1 SİTE,,Daire,Örnek,https://www.sahibinden.com/ilan/emlak-konut-satilik-fl-emlaktan-otoban-yeni-yapilan-finans-merkezi-yakini-2-plus1-site-1007015668/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,EsatpaşaMh.
1007002557,420,5+1,19.200.000,ATAŞEHİR SATILIK LOFT 5+1 İNCİTY TERAS JAKUZİ KAPALI HAVUZ,,Daire,Barbaros,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-satilik-loft-5-plus1-incity-teras-jakuzi-kapali-havuz-1007002557/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,
1006998945,75,2+1,759.000,Kayışdağı Mah. Ana Caddeye Çok Yakın Yeni Binada iskanlı 2+1,,Daire,Kayışdağı,https://www.sahibinden.com/ilan/emlak-konut-satilik-kayisdagi-mah-ana-caddeye-cok-yakin-yeni-binada-iskanli-2-plus1-1006998945/detay,istanbul-atasehir,2,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingOffset=50&pagingSize=50,KayışdağıMh.
